control_level,control_hz,latency_mean_ms,latency_p99_ms,latency_max_hz,budget_ms,track_err_hz0.25,track_err_hz0.5,track_err_hz1,track_err_hz2,track_err_hz4,track_err_hz8
torque,10,3.4124615326873027,3.523501533200033,293.0435963661994,100.0,0.33430237921924055,0.3268909283171198,0.32923470297295454,0.35479492393938666,0.39380737125473964,0.427194951572929
torque,25,1.2451094997522887,1.647456543869339,803.1422137562579,40.0,0.2926030385990046,0.2942544328747854,0.2902855867706821,0.27991534360040243,0.28198713142951076,0.31900023067745487
torque,50,0.5329557244258467,0.5452263206825592,1876.3284718956722,20.0,0.467152546412606,0.43710831764481334,0.4393673817994183,0.4024294797734082,0.5402467514445712,0.531017125614091
torque,100,0.44580182869685814,0.484984022914432,2243.14916545574,10.0,0.4829208287253679,0.4719803129307971,0.49520238054097865,0.4881196313454275,0.5068043079356158,0.5003445562129359
torque,200,0.26455041850567795,0.33754271804355085,3779.9978002247512,5.0,0.4475042261676214,0.5158277099772671,0.5541796731438519,0.539029709361376,0.5585023608390532,0.5692284415794591
joint_position,10,2.1168925750243943,2.1670984200318344,472.3905274165725,100.0,0.3238811408674611,0.3261738201437825,0.3234087942344976,0.33108896736497795,0.3628943176639374,0.5623631262920347
joint_position,25,0.924774994753534,0.9565477308933623,1081.3441168643565,40.0,0.3292865633339066,0.3279698930442348,0.32367399362100957,0.32660486024812296,0.35038565004197536,0.36816805950016257
joint_position,50,0.8317317428591195,0.8608425929560326,1202.3107312971485,20.0,0.37903098541162167,0.3852196866497493,0.37876946093905844,0.3779347678089143,0.5949262491348039,0.5355444097851331
joint_position,100,0.4244086544495076,0.4432023986009881,2356.219623506691,10.0,0.3913742966975067,0.39707171840275407,0.40231698984328484,0.3996135597552331,0.41258355423041054,0.49941814392665457
joint_position,200,0.21947274971171282,0.2632705005817115,4556.374316690998,5.0,0.5103478339358063,0.5511779130881468,0.5040856891036789,0.5368957875665806,0.5911487431657338,0.6082412844930724
pwm,10,3.8511468884244096,5.461071419122163,259.66290795236904,100.0,0.41161445061244234,0.42828669288467713,0.4418316798252509,0.44612420829227056,0.4474280362488514,0.44139523099420136
pwm,25,1.5612158887379337,2.4376692899386394,640.5264045886612,40.0,0.4282972213461705,0.4242701738202744,0.4224649592886253,0.4154695913778719,0.42706550576917407,0.4305278778413031
pwm,50,0.5788142188976053,0.5940875218948349,1727.6700664067553,20.0,0.321417471258178,0.3392752010623749,0.36442763349820834,0.37564835317678263,0.37000109916295676,0.38705210275256574
pwm,100,0.5032014554017223,1.0784415088710375,1987.275651263105,10.0,0.34240210151882283,0.3431593283789029,0.47515696432967763,0.5090565251833904,0.4495634562705755,0.5572450102519855
pwm,200,0.30914786996436305,0.4643804091028868,3234.6980107457143,5.0,0.3827934489109572,0.3647371933164231,0.3844718925354121,0.404043356553807,0.44034112094808053,0.4694560884995102
